--- maximo 10000000
Caixa 17000 0.078899
Merge 17000 0.078899
Caixa 17500 0.055768
Merge 17500 0.055768
Caixa 18000 0.070899
Merge 18000 0.070899
Caixa 18500 0.081045
Merge 18500 0.081045
Caixa 19000 0.090515
Merge 19000 0.090515
Caixa 19500 0.070117
Merge 19500 0.070117
Caixa 20000 0.070717
Merge 20000 0.070717
Caixa 20500 0.068994
Merge 20500 0.068994
Caixa 21000 0.068632
Merge 21000 0.068632
Caixa 21500 0.070826
Merge 21500 0.070826
Caixa 22000 0.065530
Merge 22000 0.065530
Caixa 22500 0.060065
Merge 22500 0.060065
Caixa 23000 0.065376
Merge 23000 0.065376
Caixa 23500 0.067829
Merge 23500 0.067829
Caixa 24000 0.063773
Merge 24000 0.063773
Caixa 24500 0.095752
Merge 24500 0.095752
Caixa 25000 0.085962
Merge 25000 0.085962
Caixa 25500 0.069928
Merge 25500 0.069928
Caixa 26000 0.061895
Merge 26000 0.061895
Caixa 26500 0.057419
Merge 26500 0.057419
Caixa 27000 0.066596
Merge 27000 0.066596
Caixa 27500 0.066737
Merge 27500 0.066737
Caixa 28000 0.047294
Merge 28000 0.047294
Caixa 28500 0.054814
Merge 28500 0.054814
Caixa 29000 0.054389
Merge 29000 0.054389
Caixa 29500 0.067110
Merge 29500 0.067110
Caixa 30000 0.073939
Merge 30000 0.073939
Caixa 30500 0.075706
Merge 30500 0.075706
Caixa 31000 0.078311
Merge 31000 0.078311
Caixa 31500 0.072922
Merge 31500 0.072922
Caixa 32000 0.073804
Merge 32000 0.073804
Caixa 32500 0.065811
Merge 32500 0.065811
Caixa 33000 0.058037
Merge 33000 0.058037
Caixa 33500 0.074844
Merge 33500 0.074844
Caixa 34000 0.066668
Merge 34000 0.066668
Caixa 34500 0.065611
Merge 34500 0.065611
Caixa 35000 0.066773
Merge 35000 0.066773
Caixa 35500 0.062550
Merge 35500 0.062550
Caixa 36000 0.079432
Merge 36000 0.079432
Caixa 36500 0.059390
Merge 36500 0.059390
Caixa 37000 0.059108
Merge 37000 0.059108
Caixa 37500 0.063345
Merge 37500 0.063345
Caixa 38000 0.064029
Merge 38000 0.064029
Caixa 38500 0.074727
Merge 38500 0.074727
Caixa 39000 0.062513
Merge 39000 0.062513
Caixa 39500 0.080282
Merge 39500 0.080282
Caixa 40000 0.071957
Merge 40000 0.071957
Caixa 40500 0.078243
Merge 40500 0.078243
Caixa 41000 0.064952
Merge 41000 0.064952
Caixa 41500 0.066743
Merge 41500 0.066743
Caixa 42000 0.061778
Merge 42000 0.061778
Caixa 42500 0.065107
Merge 42500 0.065107
Caixa 43000 0.057462
Merge 43000 0.057462
Caixa 43500 0.059806
Merge 43500 0.059806
Caixa 44000 0.068233
Merge 44000 0.068233
Caixa 44500 0.065974
Merge 44500 0.065974
Caixa 45000 0.071583
Merge 45000 0.071583
Caixa 45500 0.051418
Merge 45500 0.051418
Caixa 46000 0.070828
Merge 46000 0.070828
Caixa 46500 0.070404
Merge 46500 0.070404
Caixa 47000 0.061414
Merge 47000 0.061414
Caixa 47500 0.059851
Merge 47500 0.059851
Caixa 48000 0.070415
Merge 48000 0.070415
Caixa 48500 0.049496
Merge 48500 0.049496
Caixa 49000 0.076346
Merge 49000 0.076346
Caixa 49500 0.062896
Merge 49500 0.062896
Caixa 50000 0.067935
Merge 50000 0.067935
Caixa 50500 0.051317
Merge 50500 0.051317
Caixa 51000 0.057369
Merge 51000 0.057369
Caixa 51500 0.071118
Merge 51500 0.071118
Caixa 52000 0.074919
Merge 52000 0.074919
Caixa 52500 0.075501
Merge 52500 0.075501
Caixa 53000 0.054106
Merge 53000 0.054106
Caixa 53500 0.070307
Merge 53500 0.070307
Caixa 54000 0.074900
Merge 54000 0.074900
Caixa 54500 0.066684
Merge 54500 0.066684
Caixa 55000 0.062577
Merge 55000 0.062577
Caixa 55500 0.070474
Merge 55500 0.070474
Caixa 56000 0.071501
Merge 56000 0.071501
Caixa 56500 0.067171
Merge 56500 0.067171
Caixa 57000 0.072554
Merge 57000 0.072554
Caixa 57500 0.053930
Merge 57500 0.053930
Caixa 58000 0.069211
Merge 58000 0.069211
Caixa 58500 0.076250
Merge 58500 0.076250
Caixa 59000 0.092273
Merge 59000 0.092273
Caixa 59500 0.074652
Merge 59500 0.074652
Caixa 60000 0.081539
Merge 60000 0.081539
Caixa 60500 0.062630
Merge 60500 0.062630
Caixa 61000 0.075356
Merge 61000 0.075356
Caixa 61500 0.059430
Merge 61500 0.059430
Caixa 62000 0.067316
Merge 62000 0.067316
Caixa 62500 0.060231
Merge 62500 0.060231
Caixa 63000 0.072455
Merge 63000 0.072455
Caixa 63500 0.074529
Merge 63500 0.074529
Caixa 64000 0.071609
Merge 64000 0.071609
Caixa 64500 0.063384
Merge 64500 0.063384
Caixa 65000 0.065389
Merge 65000 0.065389
Caixa 65500 0.066160
Merge 65500 0.066160
Caixa 66000 0.065805
Merge 66000 0.065805
Caixa 66500 0.066056
Merge 66500 0.066056
Caixa 67000 0.063944
Merge 67000 0.063944
Caixa 67500 0.059745
Merge 67500 0.059745
Caixa 68000 0.059380
Merge 68000 0.059380
Caixa 68500 0.066855
Merge 68500 0.066855
Caixa 69000 0.049138
Merge 69000 0.049138
Caixa 69500 0.074895
Merge 69500 0.074895
Caixa 70000 0.071437
Merge 70000 0.071437
Caixa 70500 0.067158
Merge 70500 0.067158
Caixa 71000 0.063550
Merge 71000 0.063550
Caixa 71500 0.063550
Merge 71500 0.063550
Caixa 72000 0.054014
Merge 72000 0.054014
Caixa 72500 0.067883
Merge 72500 0.067883
Caixa 73000 0.067326
Merge 73000 0.067326
Caixa 73500 0.059707
Merge 73500 0.059707
Caixa 74000 0.063399
Merge 74000 0.063399
Caixa 74500 0.064724
Merge 74500 0.064724
Caixa 75000 0.058147
Merge 75000 0.058147
Caixa 75500 0.068050
Merge 75500 0.068050
Caixa 76000 0.071767
Merge 76000 0.071767
Caixa 76500 0.064236
Merge 76500 0.064236
Caixa 77000 0.063399
Merge 77000 0.063399
Caixa 77500 0.065267
Merge 77500 0.065267
Caixa 78000 0.064158
Merge 78000 0.064158
Caixa 78500 0.060796
Merge 78500 0.060796
Caixa 79000 0.071750
Merge 79000 0.071750
Caixa 79500 0.059656
Merge 79500 0.059656
Caixa 80000 0.068322
Merge 80000 0.068322
Caixa 80500 0.073045
Merge 80500 0.073045
Caixa 81000 0.060276
Merge 81000 0.060276
Caixa 81500 0.073102
Merge 81500 0.073102
Caixa 82000 0.068046
Merge 82000 0.068046
Caixa 82500 0.068220
Merge 82500 0.068220
Caixa 83000 0.072994
Merge 83000 0.072994
Caixa 83500 0.072524
Merge 83500 0.072524
Caixa 84000 0.067652
Merge 84000 0.067652
Caixa 84500 0.073201
Merge 84500 0.073201
Caixa 85000 0.072870
Merge 85000 0.072870
Caixa 85500 0.080344
Merge 85500 0.080344
Caixa 86000 0.055907
Merge 86000 0.055907
Caixa 86500 0.061124
Merge 86500 0.061124
Caixa 87000 0.070442
Merge 87000 0.070442
Caixa 87500 0.064433
Merge 87500 0.064433
Caixa 88000 0.072274
Merge 88000 0.072274
Caixa 88500 0.072610
Merge 88500 0.072610
Caixa 89000 0.066927
Merge 89000 0.066927
Caixa 89500 0.080634
Merge 89500 0.080634
Caixa 90000 0.064991
Merge 90000 0.064991
Caixa 90500 0.072018
Merge 90500 0.072018
Caixa 91000 0.065356
Merge 91000 0.065356
Caixa 91500 0.066725
Merge 91500 0.066725
Caixa 92000 0.071770
Merge 92000 0.071770
Caixa 92500 0.068332
Merge 92500 0.068332
Caixa 93000 0.059102
Merge 93000 0.059102
Caixa 93500 0.068226
Merge 93500 0.068226
Caixa 94000 0.074405
Merge 94000 0.074405
Caixa 94500 0.073594
Merge 94500 0.073594
Caixa 95000 0.067980
Merge 95000 0.067980
Caixa 95500 0.081153
Merge 95500 0.081153
Caixa 96000 0.080353
Merge 96000 0.080353
Caixa 96500 0.057342
Merge 96500 0.057342
Caixa 97000 0.061525
Merge 97000 0.061525
Caixa 97500 0.066160
Merge 97500 0.066160
Caixa 98000 0.060439
Merge 98000 0.060439
Caixa 98500 0.076395
Merge 98500 0.076395
Caixa 99000 0.076496
Merge 99000 0.076496
Caixa 99500 0.072863
Merge 99500 0.072863
Caixa 100000 0.078432
Merge 100000 0.078432
Caixa 100500 0.059239
Merge 100500 0.059239
Caixa 101000 0.069380
Merge 101000 0.069380
Caixa 101500 0.065553
Merge 101500 0.065553
Caixa 102000 0.076948
Merge 102000 0.076948
Caixa 102500 0.063473
Merge 102500 0.063473
Caixa 103000 0.062965
Merge 103000 0.062965
Caixa 103500 0.064417
Merge 103500 0.064417
Caixa 104000 0.069049
Merge 104000 0.069049
Caixa 104500 0.074920
Merge 104500 0.074920
Caixa 105000 0.075957
Merge 105000 0.075957
Caixa 105500 0.053011
Merge 105500 0.053011
Caixa 106000 0.073114
Merge 106000 0.073114
Caixa 106500 0.071859
Merge 106500 0.071859
Nova 0 0.000000
Caixa 1000 0.065428
Merge 1000 0.065428
Caixa 1500 0.067491
Merge 1500 0.067491
Caixa 2000 0.054308
Merge 2000 0.054308
Caixa 2500 0.069185
Merge 2500 0.069185
Caixa 3000 0.065535
Merge 3000 0.065535
Caixa 3500 0.068774
Merge 3500 0.068774
Caixa 4000 0.066283
Merge 4000 0.066283
Caixa 4500 0.067746
Merge 4500 0.067746
Caixa 5000 0.058069
Merge 5000 0.058069
Caixa 5500 0.058322
Merge 5500 0.058322
Caixa 6000 0.062530
Merge 6000 0.062530
Caixa 6500 0.066138
Merge 6500 0.066138
Caixa 7000 0.054096
Merge 7000 0.054096
Caixa 7500 0.070411
Merge 7500 0.070411
Caixa 8000 0.061172
Merge 8000 0.061172
Caixa 8500 0.062377
Merge 8500 0.062377
Caixa 9000 0.070988
Merge 9000 0.070988
Caixa 9500 0.060554
Merge 9500 0.060554
Caixa 10000 0.057165
Merge 10000 0.057165
Caixa 10500 0.070296
Merge 10500 0.070296
Caixa 11000 0.069877
Merge 11000 0.069877
Caixa 11500 0.073553
Merge 11500 0.073553
Caixa 12000 0.070132
Merge 12000 0.070132
Caixa 12500 0.067048
Merge 12500 0.067048
Caixa 13000 0.068731
Merge 13000 0.068731
Caixa 13500 0.073391
Merge 13500 0.073391
Caixa 14000 0.070313
Merge 14000 0.070313
Caixa 14500 0.069196
Merge 14500 0.069196
Caixa 15000 0.062158
Merge 15000 0.062158
Caixa 15500 0.058217
Merge 15500 0.058217
Caixa 16000 0.060326
Merge 16000 0.060326
Caixa 16500 0.067558
Merge 16500 0.067558
Caixa 17000 0.057263
Merge 17000 0.057263
Caixa 17500 0.061725
Merge 17500 0.061725
Caixa 18000 0.062525
Merge 18000 0.062525
Caixa 18500 0.057926
Merge 18500 0.057926
Caixa 19000 0.066014
Merge 19000 0.066014
Caixa 19500 0.065774
Merge 19500 0.065774
Caixa 20000 0.073225
Merge 20000 0.073225
Caixa 20500 0.075967
Merge 20500 0.075967
Caixa 21000 0.069648
Merge 21000 0.069648
Caixa 21500 0.058622
Merge 21500 0.058622
Caixa 22000 0.052751
Merge 22000 0.052751
Caixa 22500 0.065547
Merge 22500 0.065547
Caixa 23000 0.073340
Merge 23000 0.073340
Caixa 23500 0.054262
Merge 23500 0.054262
Caixa 24000 0.057052
Merge 24000 0.057052
Caixa 24500 0.071130
Merge 24500 0.071130
Caixa 25000 0.062773
Merge 25000 0.062773
Caixa 25500 0.069813
Merge 25500 0.069813
Caixa 26000 0.050055
Merge 26000 0.050055
Caixa 26500 0.069116
Merge 26500 0.069116
Caixa 27000 0.069474
Merge 27000 0.069474
Caixa 27500 0.064861
Merge 27500 0.064861
Caixa 28000 0.074242
Merge 28000 0.074242
Caixa 28500 0.070563
Merge 28500 0.070563
Caixa 29000 0.061767
Merge 29000 0.061767
Caixa 29500 0.058123
Merge 29500 0.058123
Caixa 30000 0.069315
Merge 30000 0.069315
Caixa 30500 0.066916
Merge 30500 0.066916
Caixa 31000 0.066809
Merge 31000 0.066809
Caixa 31500 0.066827
Merge 31500 0.066827
Caixa 32000 0.066037
Merge 32000 0.066037
Caixa 32500 0.063171
Merge 32500 0.063171
Caixa 33000 0.071683
Merge 33000 0.071683
Caixa 33500 0.063324
Merge 33500 0.063324
Caixa 34000 0.062419
Merge 34000 0.062419
Caixa 34500 0.061808
Merge 34500 0.061808
Caixa 35000 0.058359
Merge 35000 0.058359
Caixa 35500 0.063157
Merge 35500 0.063157
Caixa 36000 0.070282
Merge 36000 0.070282
Caixa 36500 0.055318
Merge 36500 0.055318
Caixa 37000 0.067603
Merge 37000 0.067603
Caixa 37500 0.052791
Merge 37500 0.052791
Caixa 38000 0.066975
Merge 38000 0.066975
Caixa 38500 0.059261
Merge 38500 0.059261
Caixa 39000 0.067117
Merge 39000 0.067117
Caixa 39500 0.058922
Merge 39500 0.058922
